Radio ID, Freq Error, Power, Symbol Dev, FSK Error, Mag Error
6007,40.385021,4.634238703885567,1911.308960,1.944358,0.162319
6007,40.872314,4.631738159882998,1921.382324,1.921089,0.159784
6007,40.872314,4.631738159882998,1921.382324,1.921089,0.159784
6010,42.488762,4.599035903357089,1939.956909,1.994311,0.177706
6007,38.601322,4.519019340200307,1929.093994,1.998601,0.166144
6033,-98.020973,3.9219260449816917,1929.229248,0.848894,0.295245
6033,-108.748581,3.899969404743138,1929.822388,0.836767,0.309182
